 cookie=0x0, duration=5.650s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=ae:89:26:17:29:a8,dl_dst=de:bc:a4:f6:ca:ba,arp_spa=10.0.0.4,arp_tpa=10.0.0.8,arp_op=1 actions=output:2
 cookie=0x0, duration=5.649s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=ee:60:aa:be:39:dd,dl_dst=8e:a2:f7:07:6a:51,arp_spa=10.0.0.9,arp_tpa=10.0.0.2,arp_op=1 actions=output:1
 cookie=0x0, duration=4.612s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=92:e1:6a:49:80:b9,dl_dst=46:10:16:4b:0a:82,arp_spa=10.0.0.11,arp_tpa=10.0.0.5,arp_op=1 actions=output:2
 cookie=0x0, duration=4.099s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=ae:89:26:17:29:a8,dl_dst=2e:60:72:f6:9e:17,arp_spa=10.0.0.4,arp_tpa=10.0.0.14,arp_op=1 actions=output:4
 cookie=0x0, duration=3.613s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=ee:60:aa:be:39:dd,dl_dst=fa:8c:30:22:97:34,arp_spa=10.0.0.9,arp_tpa=10.0.0.13,arp_op=1 actions=output:4
 cookie=0x0, duration=3.612s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=92:e1:6a:49:80:b9,dl_dst=3a:4a:4f:54:fb:4f,arp_spa=10.0.0.11,arp_tpa=10.0.0.6,arp_op=1 actions=output:2
 cookie=0x0, duration=3.102s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=ae:89:26:17:29:a8,dl_dst=3a:4a:4f:54:fb:4f,arp_spa=10.0.0.4,arp_tpa=10.0.0.6,arp_op=1 actions=output:2
 cookie=0x0, duration=2.558s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=ae:89:26:17:29:a8,dl_dst=46:10:16:4b:0a:82,arp_spa=10.0.0.4,arp_tpa=10.0.0.5,arp_op=1 actions=output:2
 cookie=0x0, duration=2.072s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=ae:89:26:17:29:a8,dl_dst=fa:8c:30:22:97:34,arp_spa=10.0.0.4,arp_tpa=10.0.0.13,arp_op=1 actions=output:4
 cookie=0x0, duration=1.557s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=92:e1:6a:49:80:b9,dl_dst=2e:60:72:f6:9e:17,arp_spa=10.0.0.11,arp_tpa=10.0.0.14,arp_op=1 actions=output:4
 cookie=0x0, duration=1.556s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=ae:89:26:17:29:a8,dl_dst=da:af:5c:3f:09:cf,arp_spa=10.0.0.4,arp_tpa=10.0.0.10,arp_op=1 actions=output:3
 cookie=0x0, duration=1.055s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=2,vlan_tci=0x0000/0x1fff,dl_src=3a:4a:4f:54:fb:4f,dl_dst=32:0c:be:b4:87:19,arp_spa=10.0.0.6,arp_tpa=10.0.0.1,arp_op=1 actions=output:1
 cookie=0x0, duration=1.054s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=ee:60:aa:be:39:dd,dl_dst=46:10:16:4b:0a:82,arp_spa=10.0.0.9,arp_tpa=10.0.0.5,arp_op=1 actions=output:2
 cookie=0x0, duration=0.493s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=8e:a2:f7:07:6a:51,dl_dst=92:e1:6a:49:80:b9,arp_spa=10.0.0.2,arp_tpa=10.0.0.11,arp_op=1 actions=output:3
 cookie=0x0, duration=0.489s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=ae:89:26:17:29:a8,dl_dst=32:80:ac:e2:f9:b7,arp_spa=10.0.0.4,arp_tpa=10.0.0.15,arp_op=1 actions=output:4
 cookie=0x0, duration=0.029s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=92:e1:6a:49:80:b9,dl_dst=32:0c:be:b4:87:19,arp_spa=10.0.0.11,arp_tpa=10.0.0.1,arp_op=1 actions=output:1
 cookie=0x0, duration=0.024s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=2,vlan_tci=0x0000/0x1fff,dl_src=3a:4a:4f:54:fb:4f,dl_dst=2e:60:72:f6:9e:17,arp_spa=10.0.0.6,arp_tpa=10.0.0.14,arp_op=1 actions=output:4
